t,x,y,z,speed_proxy
0.0,0.1,0.0,0.0,1.0161767660103568e-06
0.01,0.09985012905773562,4.984196835080859e-06,0.0009968403204410677,1.0132313536179586e-06
0.02,0.09970058226309939,1.9906935241746947e-05,0.0019906979045627255,1.0074946780169337e-06
0.03,0.0995514582177624,4.472353886950277e-05,0.0029815809146024556,1.0019578619466256e-06
0.04,0.09940285492988575,7.938947513426185e-05,0.0039694984782163555,9.966204726076642e-07
0.05,0.0992548698164941,0.00012386036478665788,0.004954460681199379,9.914821192644352e-07
0.06,0.09910759970594049,0.00017809199139107293,0.005936478560239392,9.865424533424945e-07
0.07,0.09896114084046108,0.0002420403107157422,0.006915564095705806,9.818011685348777e-07
0.08,0.09881558887881886,0.0003156614600343071,0.007891730204473573,9.772580009173533e-07
0.09,0.09867103889903506,0.00039891176733919875,0.008864990732783257,9.729127290726923e-07
0.1,0.09852758540120711,0.0004917477604672453,0.00983536044913796,9.687651742240225e-07
0.11,0.09838532231041212,0.0005941261761379074,0.010802855037237812,9.64815200377295e-07
0.12,0.09824434297969474,0.000706003968904555,0.011767491088952737,9.610627144729705e-07
0.13,0.09810474019313824,0.0008273383200192119,0.012729286097334246,9.575076665470005e-07
0.14,0.09796660616901778,0.0009580866462112014,0.013688258449666915,9.541500499011385e-07
0.15,0.09783003256303481,0.001098206608380138,0.014644427420560272,9.509899012826719e-07
0.16,0.09769511047163142,0.0012476561202037191,0.015597813165081761,9.480273010736749e-07
0.17,0.09756193043538366,0.001406393356660782,0.016548436711931465,9.452623734898331e-07
0.18,0.09743058244247284,0.0015743767624700953,0.01749631995665925,9.426952867889166e-07
0.19,0.09730115593223351,0.0017515650604453708,0.01844148565492499,9.40326253489007e-07
0.2,0.09717373979877748,0.0019379172597669835,0.01938395741580249,9.381555305965691e-07
0.21,0.09704842239469247,0.0021333926641708997,0.02032375969512782,9.361834198444252e-07
0.22,0.09692529153481456,0.0023379508800553217,0.021260917788892587,9.344102679397246e-07
0.23,0.09680443450007355,0.0025515518245055628,0.022195457826682835,9.32836466822041e-07
0.24,0.09668593804140987,0.0027741557332376784,0.023127406765164157,9.31462453931658e-07
0.25,0.09656988838376257,0.003005723168461383,0.024056792381613634,9.302887124881315e-07
0.26,0.09645637123012679,0.0032462150266627924,0.024983643267499144,9.293157717792631e-07
0.27,0.09634547176568037,0.0034955925463075388,0.025907988822106705,9.285442074605612e-07
0.28,0.09623727466197816,0.0037538173154648084,0.02682985924621634,9.27974641865301e-07
0.29,0.09613186408121335,0.004020851279352867,0.027749285535827083,9.276077443252854e-07
0.3,0.09602932368054475,0.004296656747806634,0.02866629947593165,9.274442315024221e-07
0.31,0.09592973661648913,0.004581196402667886,0.029580933634341347,9.274848677312306e-07
0.32,0.09583318554937775,0.0048744333050986625,0.030493221355561706,9.277304653723831e-07
0.33,0.09573975264787606,0.005176330902818464,0.031403196754719434,9.281818851773971e-07
0.34,0.09564951959356571,0.005486853037265831,0.03231089471154114,9.28840036664622e-07
0.35000000000000003,0.09556256758558802,0.005805963950684905,0.03321635086438438,9.297058785065915e-07
0.36,0.09547897734534797,0.00613362829313757,0.034119601604321516,9.307804189289127e-07
0.37,0.09539882912127778,0.006469811129441786,0.035020684069276845,9.320647161208092e-07
0.38,0.09532220269365943,0.006814477946036726,0.03591963613821754,9.335598786574031e-07
0.39,0.09524917737950485,0.007167594657775332,0.03681649642539881,9.352670659339434e-07
0.4,0.09517983203749344,0.007529127614644919,0.03771130427466381,9.37187488612038e-07
0.41000000000000003,0.09511424507296562,0.007899043608416449,0.038604099753798644,9.393224090780888e-07
0.42,0.09505249444297183,0.008277309879223102,0.0394949236489431,9.416731419140141e-07
0.43,0.09499465766137609,0.008663894122068794,0.040383817459057295,9.442410543804434e-07
0.44,0.09494081180401329,0.009058764493267266,0.04127082339044489,9.470275669125111e-07
0.45,0.09489103351389935,0.009461889616812389,0.04215598435133316,9.500341536283626e-07
