t,x,y,z,speed_proxy,attractor,attractor_id
0.0,0.1,0.0,0.0,4.779611991451841e-05,aizawa,0
0.1,0.0878538735991833,0.0320691669529532,0.0619516690471693,5.330487542058845e-05,aizawa,0
0.2,0.0673351929308642,0.0567156498949675,0.1301502898837913,6.085372072702085e-05,aizawa,0
0.3,0.0415316520102841,0.0724027631843768,0.2050913246781884,7.026920575584063e-05,aizawa,0
0.4,0.0135566363428749,0.0785997948202595,0.2872041972355164,8.153809223023909e-05,aizawa,0
0.5,-0.0137024184304975,0.0756425630667173,0.3767858778152626,9.446867207115715e-05,aizawa,0
0.6,-0.0377555927430412,0.0645562729106022,0.4739124124324884,0.0001085794852073,aizawa,0
0.7000000000000001,-0.0566065292533744,0.0468711805371204,0.5783309316678276,0.0001229879883874,aizawa,0
0.8,-0.0687865240246759,0.0244556636435731,0.6893424849437013,0.0001363476408769,aizawa,0
0.9,-0.0733469401193722,-0.0006166651311634,0.8056972373250431,0.0001469086781889,aizawa,0
1.0,-0.0698343571056111,-0.0261589442751466,0.9255358747654197,0.0001527791343746,aizawa,0
1.1,-0.0582736927785996,-0.049926748805794,1.0464181310644929,0.0001524019916623,aizawa,0
1.2,-0.03918066152797,-0.0696545800401384,1.1654716027127636,0.0001451302159439,aizawa,0
1.3,-0.0136147172706288,-0.0831018701157535,1.279664458460858,0.0001316392644142,aizawa,0
1.4,0.0167335990984391,-0.0881441425255718,1.3861591279668133,0.0001139044824833,aizawa,0
1.5,0.0494491414300828,-0.0829423610690915,1.4826616868614546,9.467474563574608e-05,aizawa,0
1.6,0.0813419954868963,-0.0662077785914224,1.56767075383602,7.668123007668032e-05,aizawa,0
1.7,0.1085024927660784,-0.0375513944352349,1.640562460224544,6.197700242900527e-05,aizawa,0
1.8,0.1265195806887321,0.0021275809137863,1.701508664122242,5.16774620789004e-05,aizawa,0
1.9,0.1308988715384671,0.0502917528295105,1.7512809650512131,4.609736694587119e-05,aizawa,0
2.0,0.1176798047149985,0.102551815986618,1.791016671811928,4.508969816905541e-05,aizawa,0
2.1,0.0842059870587312,0.1526898640252996,1.8220092543943445,4.838195941213498e-05,aizawa,0
2.2,0.0299562223926995,0.1930040442677186,1.8455490613735943,5.580791817227862e-05,aizawa,0
2.3000000000000003,-0.042696624608876,0.2150226314803392,1.8628051909867087,6.7435387190539e-05,aizawa,0
2.4,-0.1279579471256512,0.2105817942310572,1.8747312143675583,8.363386774156762e-05,aizawa,0
2.5,-0.2164788385155309,0.1731962346109705,1.8820030917931527,0.0001051144268555,aizawa,0
2.6,-0.2957640159467734,0.0995839190764335,1.885028715535303,0.0001329453910314,aizawa,0
2.7,-0.3512242003754444,-0.0088604491877479,1.8840503706300649,0.0001685390445565,aizawa,0
2.8000000000000003,-0.3679059509139207,-0.1449118902954969,1.8792702051352344,0.0002136368770016,aizawa,0
2.9,-0.3328174063382609,-0.2949925338873841,1.8708408610375007,0.0002703559028885,aizawa,0
3.0,-0.2376198194671817,-0.4395728430865542,1.8586331135587737,0.0003412948413504,aizawa,0
3.1,-0.0813248340425089,-0.5546962674545582,1.841971807949032,0.0004295476282259,aizawa,0
3.2,0.1274426418054247,-0.6147095665127631,1.819771120007446,0.0005383933793074,aizawa,0
3.3000000000000003,0.3691515836561265,-0.5961643777874552,1.79125230191731,0.0006706453996159,aizawa,0
3.4,0.6137136322152983,-0.4826021518859433,1.7566057585696635,0.0008284483668862,aizawa,0
3.5,0.8230618619458702,-0.2694427399247204,1.7163989805357118,0.0010144423772516,aizawa,0
3.6,0.955974651373214,0.0321609097559758,1.669450587363838,0.0012328731797044,aizawa,0
3.7,0.9745556607644316,0.3933571377157127,1.611078445734132,0.0014880759836472,aizawa,0
3.8,0.8519346404785012,0.7679976310945694,1.5346295377173111,0.0017785523691524,aizawa,0
3.9,0.5809219627562318,1.0965868417278015,1.4363781895578762,0.0020873556787667,aizawa,0
4.0,0.1816055595916539,1.3156602043632617,1.318685941167857,0.0023849911640612,aizawa,0
4.1,-0.296511396462794,1.3720650373699423,1.1864106612582888,0.0026516792524751,aizawa,0
4.2,-0.7807287169420406,1.2374780081508914,1.0405755824028158,0.0028813822244756,aizawa,0
4.3,-1.1883567548671985,0.918417532018584,0.8791097449273915,0.0030545041723067,aizawa,0
4.4,-1.444582436492989,0.4594975980985112,0.7053380620573286,0.0031239722871949,aizawa,0
4.5,-1.5021734934320836,-0.0631835582942765,0.5316872182393128,0.0030582091080195,aizawa,0
4.6000000000000005,-1.355146544624947,-0.5602686433282701,0.3715766546586906,0.0028828529771889,aizawa,0
4.7,-1.0384467143495268,-0.952080292974624,0.2308537944427946,0.00264540409126,aizawa,0
4.8,-0.6154205184891354,-1.1857005080466556,0.1088722924091104,0.0023756918351115,aizawa,0
4.9,-0.1608207944211588,-1.2420894521729162,0.0039471448641162,0.0020900159657317,aizawa,0
5.0,0.2551933090889967,-1.1345852589931094,-0.0845266486137799,0.0018037728659787,aizawa,0
5.1000000000000005,0.5791421831641922,-0.901080334539554,-0.1572605265283038,0.0015318473171126,aizawa,0
5.2,0.7805550815224871,-0.5928347742762263,-0.2158231883805472,0.0012840411490611,aizawa,0
5.3,0.8525050263656004,-0.2632960600780651,-0.2619201917889863,0.0010646742400503,aizawa,0
5.4,0.8078994618296761,0.0407882583274692,-0.2967352175029317,0.0008749376726037,aizawa,0
5.5,0.6733843918745607,0.2850548228038488,-0.3211592255587067,0.0007143150646026,aizawa,0
5.6000000000000005,0.4824972581430308,0.449893026020326,-0.3362847456171539,0.0005808345505046,aizawa,0
5.7,0.2694331322449819,0.5299532399054704,-0.3434620966683938,0.0004714090380038,aizawa,0
5.8,0.0643007533659914,0.5316887338744484,-0.34397882512554,0.0003825433635523,aizawa,0
5.9,-0.1098505234637788,0.4699051123944401,-0.3387970848752927,0.0003109000075463,aizawa,0
6.0,-0.238353089960939,0.3640840846697569,-0.3285459476577463,0.000253515763115,aizawa,0
6.1000000000000005,-0.3148816412622845,0.2350058712798162,-0.3136516054454917,0.0002078268321602,aizawa,0
6.2,-0.3404079456875976,0.1020080742440044,-0.2944331650073823,0.0001716612147737,aizawa,0
6.3,-0.3215321758475883,-0.0189444652201337,-0.271112548703294,0.0001432338344359,aizawa,0
6.4,-0.2685492786712475,-0.1163533250371997,-0.2437882982077091,0.0001211205606866,aizawa,0
6.5,-0.1935406948239035,-0.1835283441197697,-0.2124280952878173,0.0001042053827435,aizawa,0
6.6000000000000005,-0.1086980883510972,-0.2183246779439842,-0.1768893897025498,9.162218900491947e-05,aizawa,0
6.7,-0.025006583083587,-0.2224488067999046,-0.1369469234717384,8.271054580821472e-05,aizawa,0
6.8,0.0486550725405595,-0.2005103439514012,-0.0923092237829457,7.698672971713552e-05,aizawa,0
6.9,0.1059993925047334,-0.1589810502826452,-0.0426241039927269,7.411964262929528e-05,aizawa,0
7.0,0.1434470437092125,-0.1051928498728073,0.0125161279488221,7.390270549978161e-05,aizawa,0
7.1000000000000005,0.1599508855562751,-0.0464696853409887,0.0735608786585756,7.621974150900913e-05,aizawa,0
7.2,0.1566150107172405,0.0105496242719208,0.140976476666158,8.100558647325455e-05,aizawa,0
7.3,0.1361970509274757,0.0603745843916415,0.2152107932805866,8.819829113626848e-05,aizawa,0
7.4,0.1025732660168712,0.0989179084393816,0.2966454671431711,9.76742761494034e-05,aizawa,0
7.5,0.0602308637828237,0.1235693095465586,0.3855306822930543,0.0001091579219685,aizawa,0
7.6,0.0138333965501693,0.1331295598144963,0.4818978164295973,0.0001221079112342,aizawa,0
7.7,-0.032114623642046,0.1276532900977048,0.5854512128848226,0.0001356051357713,aizawa,0
7.8,-0.0734970195037233,0.108250079068472,0.6954509556094823,0.000148296459723,aizawa,0
7.9,-0.106720431224792,0.0768891168312149,0.8106112205475714,0.0001584712854857,aizawa,0
8.0,-0.1287817390750226,0.0362430175957995,0.929049508183488,0.0001643380053754,aizawa,0
8.1,-0.1373095755294139,-0.0104095321496777,1.0483249038157636,0.0001644973009088,aizawa,0
8.2,-0.1306284405310481,-0.059225072089168,1.1655916232681345,0.0001584820889515,aizawa,0
8.3,-0.1078908020395854,-0.1058109424449059,1.2778644469169378,0.0001471201605258,aizawa,0
8.4,-0.0693044321256193,-0.1452730560548004,1.3823525424397909,0.0001324904013648,aizawa,0
8.5,-0.0164475097702081,-0.1723725015057253,1.4767860823836718,0.0001174346431861,aizawa,0
8.6,0.0473827783686986,-0.1818668668933961,1.5596545647577025,0.0001048401686689,aizawa,0
8.700000000000001,0.116889668278883,-0.1690844124863181,1.6303000663277478,9.702706489842624e-05,aizawa,0
8.8,0.1846974995091228,-0.1307247382866335,1.688848593570345,9.548170069036742e-05,aizawa,0
8.9,0.2416084541286616,-0.0658087755239732,1.7360030778615936,0.0001009734168824,aizawa,0
9.0,0.2772955242706565,0.0233682259633331,1.772759816732543,0.0001139208024866,aizawa,0
9.1,0.2814670601676286,0.1304769531460692,1.8001440155593316,0.0001348040127238,aizawa,0
9.2,0.2454561792363543,0.2448066337107337,1.8190625871895585,0.0001644487715855,aizawa,0
9.3,0.1640956603896712,0.3515455829576152,1.8303003693303463,0.0002041160743782,aizawa,0
9.4,0.0376339588343387,0.4328671839192357,1.8345462520965177,0.0002554843000159,aizawa,0
9.5,-0.1266543630079362,0.469902185901397,1.8322511022697092,0.0003206924897828,aizawa,0
9.6,-0.3135615797149906,0.4455216230602558,1.8232663088674228,0.0004024770478607,aizawa,0
9.7,-0.5001140211257256,0.3476957089511174,1.8065848845148305,0.0005041428556752,aizawa,0
9.8,-0.6571442188453676,0.1730701819666193,1.7807264359268185,0.0006288946678889,aizawa,0
9.9,-0.7525851186242895,-0.0697986385606292,1.744847019007943,0.0007784761731845,aizawa,0
10.0,-0.75659219933905,-0.3584843424849636,1.6995991883933483,0.0009527254441999,aizawa,0
10.1,-0.6479059136055482,-0.6571490587059398,1.6463637489152168,0.0011515615454771,aizawa,0
10.2,-0.4200765551971699,-0.9200421256594862,1.5850160163545457,0.001376405594871,aizawa,0
10.3,-0.0861477950253067,-1.0977566869096942,1.5128146792982005,0.0016267831202051,aizawa,0
10.4,0.3191785573689193,-1.1457656966957497,1.426921698022013,0.0018928448388127,aizawa,0
10.5,0.7413512494647122,-1.0347495433686018,1.3287750016251243,0.0021527765411976,aizawa,0
10.6,1.1136392276385014,-0.7604307814217101,1.2243990723381708,0.0023876767468935,aizawa,0
10.7,1.3699648220020082,-0.3485139724636111,1.1182842297548763,0.0025967705385735,aizawa,0
10.8,1.4584831029932923,0.1476446303325894,1.0073488177018712,0.0027863226359783,aizawa,0
10.9,1.3523879118819333,0.6547595140849547,0.883246972152518,0.0029481535763992,aizawa,0
11.0,1.0578703590456675,1.0911610295725376,0.7421376215712315,0.0030477049519675,aizawa,0
11.1,0.6175225826161059,1.3831449169895993,0.590656094627017,0.0030449156691351,aizawa,0
11.2,0.1038671554806575,1.4833395624448455,0.4404148069194609,0.0029364431656391,aizawa,0
