t,x,y,z,speed_proxy
0.0,1.0,1.0,1.0,0.14538821022628004
0.01,1.0183851943847222,1.3805790244377065,0.985515490627585,0.15022832219397936
0.02,1.0716300397651706,1.7714901029063106,0.9758039817993163,0.1669938291217384
0.03,1.158036194101958,2.185741328272922,0.9718560891876042,0.1973326718142445
0.04,1.2772747626532355,2.6358051934386784,0.9752044125424766,0.24343254271285378
0.05,1.4302287877508806,3.1340977397419016,0.9880264212734555,0.30916125396978106
0.06,1.618893006375869,3.6933918563423007,1.0133153280833997,0.4002685080280168
0.07,1.8463198427810907,4.327177641190439,1.055127947302761,0.5247965238951487
0.08,2.1166025129476536,5.049974938053198,1.1189263363374158,0.6937055472181655
0.09,2.4348870357782255,5.877593769993287,1.2120377167504495,0.9217405055659411
0.1,2.8074047500101487,6.827325978046828,1.344265130526924,1.2285784133502096
0.11,3.241515354176473,7.918033966934777,1.528689279298666,1.6403007878595675
0.12,3.745747051280369,9.170077343718573,1.7827088734727559,2.19122517062144
0.13,4.329814366537298,10.60498182378402,2.1293698572712496,2.926092297232988
0.14,5.004584578600199,12.244702687014486,2.599027602343859,3.9025182956383238
0.15,5.7819490908328754,14.110262781255415,3.231360480750742,5.193448634876271
0.16,6.674534866459592,16.219449989761447,4.077690665684922,6.889040182458979
0.17,7.695161834671339,18.58314540208651,5.203440293262687,9.096885783837513
0.18,8.855914763665412,21.19974230125707,6.6903164275333245,11.938732851805476
0.19,10.166655872686285,24.04706425692139,8.637423312303168,15.540873339031567
0.2,11.63276875180754,27.071319818408877,11.159897251810122,20.014487828910543
0.21,13.251921399224733,30.173163073742792,14.382856388489422,25.422219664621537
0.22,15.009716947020934,33.19219718568771,18.427631410408996,31.72972289694118
0.23,16.874345051812874,35.89361936695252,23.386928704192574,38.748026570927706
0.24,18.790850643110026,37.96420916938152,29.28686876316509,46.08534313687537
0.25,20.67644839773577,39.028528846179825,36.03832093001002,53.14137686143232
0.26,22.419293384702726,38.69710772284262,43.388739930745906,59.179818193815215
0.27,23.883763435188534,36.651633921202055,50.897081764662595,63.48677751176233
0.28,24.924704452704,32.754001524384535,57.960957131338105,65.56296349540948
0.29,25.410383984142218,27.140830450296974,63.91498870160795,65.2486608096294
0.3,25.249384995860904,20.250540371231704,68.1860578631163,62.709396730347706
0.31,24.41266642867367,12.748252376295685,70.44919431397416,58.315908099392274
0.32,22.9418926216341,5.365610418430335,70.71152250168302,52.5265051032337
0.33,20.940271991596344,-1.276404892800545,69.28408240060469,45.83581764957941
0.34,18.549771884315696,-6.7859653813176894,66.66284968085476,38.75804905663121
0.35000000000000003,15.923699602790146,-11.025311132619382,63.38280924800334,31.78860210615178
0.36,13.203484579494363,-14.059589277801111,59.90518618735209,25.339815501969625
0.37,10.504445549127608,-16.073564234601854,56.56327201091276,19.688114175902513
0.38,7.9107618425925965,-17.29462966349948,53.55900178751043,14.960708211688395
0.39,5.477123764125111,-17.940508350946423,50.98802419729593,11.159596861443923
0.4,3.2339198425001543,-18.192795833877568,48.872976405341085,8.203332782288182
0.41000000000000003,1.19347369425227,-18.189288752574893,47.19305627650968,5.968117526714583
0.42,-0.6441535693040765,-18.026911536563414,45.90557027886968,4.318713163158469
0.43,-2.286445725207212,-17.76910511435963,44.95957039187131,3.12744747164644
0.44,-3.744927542619095,-17.45407381035441,44.303431835279476,2.283567187591168
0.45,-5.032746931427331,-17.102197904222095,43.88843398218991,1.69619206367639
0.46,-6.163126998785913,-16.722054770308333,43.670006409589845,1.293663637731974
0.47000000000000003,-7.148469893513048,-16.31504604523031,43.60778678459671,1.0212184638707864
0.48,-7.999926891590704,-15.878836564813959,43.66520357726905,0.8381347944180535
0.49,-8.727288993839167,-15.409845503767638,43.808986699739144,0.7149455836735379
0.5,-9.339087634037703,-14.90499448465017,44.00880573600094,0.6309677218136995
0.51,-9.842822570116889,-14.36286510575108,44.23710791344027,0.5722115281071266
0.52,-10.245254161181807,-13.78437361572902,44.469150395631644,0.529649963849897
0.53,-10.552711934935811,-13.173041679187161,44.6831764717542,0.4978009505876206
0.54,-10.77138271027163,-12.534929483141626,44.860662734806354,0.4735789842235538
0.55,-10.907551238588589,-11.87829687878897,44.98655891574079,0.4553847232508322
0.56,-10.967775407833267,-11.213064097823187,45.04945019319469,0.44241211450389195
0.5700000000000001,-10.958986892764623,-10.550149903317836,45.04159020722056,0.43415678856822915
0.58,-10.888516555053362,-9.900766996922135,44.95877766430294,0.43010651509842923
0.59,-10.764051367754387,-9.275749280462898,44.80007570672494,0.4295871632896472
0.6,-10.593535527447312,-8.684972731274168,44.56739658386012,0.4317298415405384
0.61,-10.38503221893591,-8.136912926468685,44.264991031358285,0.43552022567230586
0.62,-10.146563994471203,-7.63836076777864,43.898890226922326,0.4398914631685422
0.63,-9.885949049253767,-7.19429722081986,43.476348226358226,0.4438274654209019
0.64,-9.610648245490239,-6.807910837982197,43.00532596746537,0.44645234931050304
0.65,-9.327634173263403,-6.48073027086265,42.49404679379354,0.44709203494695515
0.66,-9.043289499920732,-6.21283835909174,41.95064073552136,0.4453034409894166
0.67,-8.763337936836637,-6.003134051676051,41.382882821676496,0.440873909769702
0.68,-8.492807773842744,-5.84961201994228,40.79802105198256,0.4337978645540504
0.6900000000000001,-8.236025343023316,-5.749635762358028,40.20268304878425,0.42423940985020925
0.7000000000000001,-7.996634049167123,-5.700186811606094,39.60284684649783,0.41248925114562734
0.71,-7.777633686802328,-5.698079207700648,39.00386028633713,0.39892271671946505
0.72,-7.5814345145852124,-5.740133987308526,38.41049436651793,0.383963537226577
0.73,-7.409920802602972,-5.823312728870206,37.82701792268957,0.36805592393035785
0.74,-7.264519132612975,-5.944812144762814,37.257283549601986,0.35164571442677095
0.75,-7.146267463476869,-6.102123468076371,36.704817251607054,0.33517006618405043
0.76,-7.055881755181846,-6.293061175274641,36.17290662148961,0.3190543760978852
0.77,-6.993817690953403,-6.5157656718236305,35.664684231975336,0.30371470960375685
0.78,-6.960325695644888,-6.768684180774682,35.183204325574366,0.289563921744844
0.79,-6.955497992949836,-7.050533409617975,34.73151181792817,0.2770197286432883
0.8,-6.979306866141484,-7.360246779710651,34.3127031358682,0.26651314143612026
0.81,-7.031633592300144,-7.696908197217173,33.92997855585345,0.25849583158611744
0.8200000000000001,-7.112287722270266,-8.059673606929312,33.586685552324546,0.25344510948580434
