t,x,y,z,speed_proxy
0.0,1.0,0.0,0.0,0.00010385799755944505
0.01,0.9999402604004775,0.010009807236666668,0.001912638968668562,0.0001037492474905866
0.02,0.9997620366062451,0.02003846209387962,0.0036606557196394033,0.00010360583986633683
0.03,0.9994667202118193,0.03008482334831765,0.005258210260993145,0.00010355794848527261
0.04,0.9990555787770901,0.04014776079109246,0.006718239272543552,0.00010358987173217227
0.05,0.9985297674173278,0.05022615406707753,0.008052562290914073,0.00010368847161972593
0.06,0.99789033938952,0.06031889162283115,0.00927197861269555,0.00010384275297936233
0.07,0.9971382557626572,0.07042486975372925,0.010386355735539232,0.00010404351195856385
0.08,0.996274394251848,0.08054299174174306,0.011404710083489946,0.00010428304235914808
0.09,0.9952995572891051,0.09067216707604286,0.012335280696070363,0.00010455489025707233
0.1,0.9942144793972295,0.10081131074929016,0.013185596499945627,0.00010485364893184888
0.11,0.9930198339273814,0.1109593426231018,0.01396253772684964,0.00010517478745618502
0.12,0.9917162392156058,0.12111518685673557,0.014672391991319027,0.00010551450739848772
0.13,0.9903042642087349,0.1312777713935639,0.015320905496188721,0.00010586962300935644
0.14,0.9887844336056695,0.1414460275003733,0.01591332979233074,0.00010623746102885828
0.15,0.9871572325560213,0.1516188893549577,0.01645446448138262,0.00010661577688980812
0.16,0.9854231109544215,0.16179529367786602,0.016948696215869002,0.00010700268462469373
0.17,0.9835824873654613,0.1719741794045225,0.01740003431985648,0.0001073965982279972
0.18,0.9816357526111756,0.18215448739426565,0.01781214332481585,0.00010779618259618421
0.19,0.9795832730502004,0.19233516017314928,0.018188372689441658,0.00010820031247680234
0.2,0.9774253935751972,0.20251514170762244,0.018531783948564657,0.00010860803811616772
0.21,0.9751624403528226,0.21269337720645293,0.01884517551477911,0.00010901855651051243
0.22,0.9727947233284102,0.22286881294848637,0.019131105336803168,0.00010943118734529478
0.23,0.970322538515605,0.23304039613404037,0.01939191160072462,0.0001098453528575426
0.24,0.9677461700894332,0.24320707475792222,0.0196297316439996,0.00011026056098150808
0.25,0.9650658922996862,0.2533677975022314,0.01984651923722594,0.00011067639124268138
0.26,0.9622819712200334,0.26352151364726634,0.020044060375177374,0.00011109248295273585
0.27,0.9593946663469423,0.2736671729989989,0.020223987706241803,0.00011150852533111054
0.28,0.9564042320612642,0.28380372583171115,0.020387793718150436,0.00011192424924006661
0.29,0.9533109189642339,0.29393012284451037,0.02053684278761756,0.00011233942027114563
0.3,0.9501149750986088,0.3040453151305469,0.020672382192145258,0.00011275383296368117
0.31,0.9468166470647521,0.3141482541578607,0.020795552173703283,0.00011316730597173206
0.32,0.9434161810406126,0.3242378917608735,0.020907395136198933,0.00011357967802567858
0.33,0.9399138237137822,0.3343131801416275,0.02100886405153848,0.00011399080455971777
0.34,0.9363098231331047,0.344373071879948,0.021100830142590746,0.00011440055489740521
0.35000000000000003,0.932604429486666,0.3544165199517771,0.021184089905439237,0.00011480880990488054
0.36,0.9287978958124031,0.3644424777549898,0.02125937152790238,0.00011521546003606184
0.37,0.9248904786470366,0.3744498991420619,0.021327340756365956,0.00011562040370634885
0.38,0.9208824386185333,0.38443773845901225,0.021388606258466544,0.00011602354594164715
0.39,0.9167740409868631,0.3944049505900911,0.02144372452505173,0.0001164247972581175
