t,x,y,z,speed_proxy
0.0,0.1,0.0,0.0,1.0449002998151657e-06
0.01,0.09977028089799773,4.980215501376981e-06,0.0009960444927030097,1.0402852115222835e-06
0.02,0.09954118888031482,1.9875144867758088e-05,0.0019875206115054127,1.031227754555769e-06
0.03,0.09931282119782511,4.4616449607783764e-05,0.002974445516228552,1.0223945602735418e-06
0.04,0.09908527419699215,7.913611484979823e-05,0.003956837289965669,1.0137838177084052e-06
0.05,0.09885864332522248,0.00012336645802729613,0.004934714928081346,1.0053937642302358e-06
0.06,0.09863302313629231,0.00017724013742999252,0.005908098327287534,9.972226852069924e-07
0.07,0.0984085072958458,0.00024069016062152975,0.006877008274796651,9.892689136751246e-07
0.08,0.09818518858696362,0.00031364989272484185,0.007841466437552227,9.815308300193664e-07
0.09,0.0979631589158,0.000396053064576206,0.008801495351537573,9.740068616618613e-07
0.1,0.09774250931728667,0.0004878337807490171,0.009757118411162911,9.666954827605633e-07
0.11,0.09752332996090238,0.0005889265274483297,0.01070835985873142,9.595952139168996e-07
0.12,0.0973057101565061,0.0006992661802772173,0.011655244773984611,9.527046218926386e-07
0.13,0.0970897383602328,0.0008187880118760063,0.012597799063727455,9.460223193359161e-07
0.14,0.09687550218044995,0.000947427699435448,0.013536049451533668,9.395469645164203e-07
0.15,0.09666308838377353,0.0010851213320848976,0.014470023467531524,9.332772610696558e-07
0.16,0.09645258290114199,0.0012318054181565757,0.015399749438270596,9.27211957750298e-07
0.17,0.09624407083394662,0.0013874168923269901,0.016325256476669773,9.213498481945825e-07
0.18,0.09603763646021718,0.0015518931226366065,0.017246574472046906,9.156897706916994e-07
0.19,0.09583336324086113,0.0017251719173888543,0.01816373408023044,9.102306079641687e-07
0.2,0.09563133382595525,0.0019071915319295635,0.01907676671375333,9.049712869571869e-07
0.21,0.09543163006108817,0.00209789067530793,0.01998570453212957,8.999107786369206e-07
0.22,0.09523433299375254,0.002297208516820112,0.02089058043221367,8.95048097797674e-07
0.23,0.09503952287978555,0.0025050846924365624,0.021791428038643305,8.903823028779754e-07
0.24,0.09484727918985632,0.0027214593111142037,0.022688281694365476,8.859124957855343e-07
0.25,0.09465768061599912,0.0029462729609945632,0.023581176451246424,8.816378217310546e-07
0.26,0.09447080507819092,0.003179466715488975,0.024470148060765563,8.775574690708728e-07
